Date,Android,iOS
2013-01-01,36.87,25.85
2013-02-01,36.9,27.21
2013-03-01,37.23,27.14
2013-04-01,38.34,26.46
2013-05-01,38.27,25.86
2013-06-01,37.93,25.09
2013-07-01,38.34,24.79
2013-08-01,39.52,23.44
2013-09-01,39.82,22.73
2013-10-01,39.39,20.54
2013-11-01,41.31,21.94
2013-12-01,42.99,21.82
2014-01-01,44.62,23.55
2014-02-01,47.45,22.97
2014-03-01,48.26,23.6
2014-04-01,49.95,23.25
2014-05-01,52.23,23.24
2014-06-01,52.98,24.29
2014-07-01,53.51,24.9
2014-08-01,54.87,23.57
2014-09-01,55.7,24.73
2014-10-01,57.43,25.96
2014-11-01,59.9,23.02
2014-12-01,59.15,23.51
2015-01-01,59.78,22.75
2015-02-01,60.79,23.17
2015-03-01,61.94,22.64
2015-04-01,63.43,20.78
2015-05-01,64.0,20.22
2015-06-01,63.75,20.22
2015-07-01,64.08,20.41
2015-08-01,65.56,19.03
2015-09-01,66.77,18.14
2015-10-01,67.15,17.7
2015-11-01,65.73,19.3
2015-12-01,65.9,19.21
2016-01-01,66.28,19.58
2016-02-01,66.38,19.47
2016-03-01,68.04,18.82
2016-04-01,68.28,18.8
2016-05-01,68.84,18.63
2016-06-01,68.39,20.33
2016-07-01,68.79,19.89
2016-08-01,68.54,20.07
2016-09-01,69.68,19.38
2016-10-01,70.84,19.12
2016-11-01,72.01,18.85
2016-12-01,71.97,18.89
2017-01-01,71.58,19.73
2017-02-01,71.98,19.45
2017-03-01,71.61,19.5
2017-04-01,71.84,19.87
2017-05-01,72.68,19.32
2017-06-01,72.89,19.35
2017-07-01,73.39,18.78
2017-08-01,72.74,20.32
2017-09-01,73.52,19.37
2017-10-01,73.05,19.99
2017-11-01,73.11,20.34
2017-12-01,73.54,19.91
2018-01-01,74.39,19.64
2018-02-01,74.78,20.15
2018-03-01,74.24,20.83
2018-04-01,75.66,19.23
2018-05-01,76.53,18.97
2018-06-01,76.99,18.91
2018-07-01,77.32,19.4
2018-08-01,76.82,20.45
2018-09-01,76.61,20.66
2018-10-01,74.69,22.34
2018-11-01,72.35,24.44
2018-12-01,75.16,21.98
2019-01-01,74.45,22.85
2019-02-01,74.15,23.28
2019-03-01,75.33,22.4
2019-04-01,75.22,22.76
2019-05-01,75.34,22.66
2019-06-01,76.03,22.04
2019-07-01,76.08,22.01
2019-08-01,76.23,22.17
2019-09-01,76.24,22.48
2019-10-01,76.67,22.09
2019-11-01,75.82,22.9
2019-12-01,74.13,24.79
2020-01-01,74.3,24.76
2020-02-01,73.3,25.89
2020-03-01,72.26,27.03
2020-04-01,70.68,28.79
2020-05-01,72.6,26.72
2020-06-01,74.14,25.26
2020-07-01,74.6,24.82
2020-08-01,74.25,25.15
2020-09-01,74.44,24.98
2020-10-01,72.92,26.53
2020-11-01,71.18,28.19
2020-12-01,72.48,26.91
2021-01-01,71.93,27.47
2021-02-01,71.9,27.33
2021-03-01,71.83,27.41
2021-04-01,72.19,27.0
2021-05-01,72.72,26.46
2021-06-01,72.83,26.35
2021-07-01,72.21,26.92
2021-08-01,72.74,26.42
2021-09-01,72.44,26.75
2021-10-01,71.09,28.21
2021-11-01,70.74,28.54
2021-12-01,70.01,29.24
2022-01-01,69.74,29.49
2022-02-01,70.94,28.29
2022-03-01,71.7,27.57
2022-04-01,71.59,27.68
2022-05-01,71.45,27.83
2022-06-01,72.12,27.22
2022-07-01,71.85,27.5
2022-08-01,71.52,27.83
2022-09-01,71.55,27.8
2022-10-01,70.98,28.41
2022-11-01,71.96,27.48
2022-12-01,72.37,26.98
2023-01-01,71.77,27.6
2023-02-01,72.27,27.1
2023-03-01,70.88,28.42
2023-04-01,68.61,30.61
2023-05-01,67.72,31.44
2023-06-01,70.79,28.44
2023-07-01,70.87,28.39
2023-08-01,70.76,28.53
2023-09-01,69.74,29.58
2023-10-01,69.66,29.65
2023-11-01,70.19,29.12
2023-12-01,70.48,28.8
2024-01-01,69.98,29.27
2024-02-01,71.43,27.84
2024-03-01,70.78,28.46
2024-04-01,71.31,27.95
2024-05-01,71.5,27.73
2024-06-01,72.17,27.16
2024-07-01,71.62,27.75
2024-08-01,71.7,27.71
2024-09-01,71.84,27.61
2024-10-01,71.12,28.38
2024-11-01,71.85,27.69
2024-12-01,73.49,26.04
2025-01-01,72.21,27.32
2025-02-01,71.75,27.78
2025-03-01,71.95,27.63
2025-04-01,72.23,27.39
2025-05-01,72.72,26.92
2025-06-01,74.18,25.47
2025-07-01,72.03,27.59
2025-08-01,73.93,25.68
2025-09-01,75.17,24.45
2025-10-01,72.59,27.0
2025-11-01,71.9,27.67
2025-12-01,71.71,27.91
