"Date","SymbianOS","iOS","Unknown","BlackBerry OS","Sony Ericsson","Android","Playstation","Windows","Samsung","Palm","webOS","LG","Nintendo","Rex","OS X","Linux","WAP","JAVA","Motorola","Other"
2009-01,39.31,35.56,14.73,0.95,0,0.66,4.33,2.55,0,0.5,0,0,0,0,0.13,1.24,0.03,0.01,0,0
2009-02,37.04,36.43,11.87,5.57,0,2.06,3.58,2.47,0,0.57,0,0,0,0,0.13,0,0.27,0.01,0,0
2009-03,35.12,39.6,11.29,5.97,0,2.18,3.18,1.98,0,0.5,0,0,0,0,0.13,0,0.03,0.01,0,0
2009-04,34.25,41.91,10.2,6.39,0,2.02,2.85,1.75,0,0.48,0,0,0,0,0.13,0,0.02,0.01,0,0
2009-05,39.11,37.32,9.88,6.92,0,1.86,2.68,1.61,0,0.46,0,0,0,0,0.14,0,0.02,0.01,0,0
2009-06,40.61,35.81,10.61,7.91,0,0.13,2.75,1.6,0,0.45,0,0,0,0,0.1,0,0.03,0.01,0,0
2009-07,24.06,34.2,23.63,8.55,1.87,2.21,2.59,1.61,0.45,0.41,0.08,0.06,0.08,0.04,0.09,0,0.03,0.04,0,0
2009-08,34.06,33.91,6.14,8.86,6.93,2.28,2.15,2.21,1.76,0.34,0.37,0.34,0.32,0.16,0.07,0,0.03,0.03,0.03,0
2009-09,36.29,31.13,7.12,8.92,6.79,2.32,1.74,2.1,1.94,0.34,0.4,0.34,0.27,0.14,0.05,0,0.04,0.04,0.02,0
2009-10,38.17,30.5,6.23,9.16,6.72,2.56,1.55,1.66,1.88,0.26,0.51,0.28,0.25,0.12,0.05,0,0.05,0.04,0.02,0
2009-11,36.17,31.56,5.93,9.73,7.03,3.31,1.58,1.38,1.85,0.24,0.47,0.28,0.24,0.11,0.03,0,0.04,0.03,0.01,0
2009-12,35.05,32.05,6.05,9.69,7.12,4.07,1.55,1.17,1.81,0.2,0.41,0.27,0.35,0.1,0.03,0,0.03,0.03,0.01,0.01
