"Date","SymbianOS","iOS","BlackBerry OS","Android","Unknown","Sony Ericsson","Samsung","Playstation","Windows","webOS","Nintendo","LG","WAP","Palm","Maemo 5","Rex","JAVA","Other"
2010-01,34.16,33.13,10.28,4.54,5.76,6.89,1.69,1.2,0.99,0.42,0.38,0.25,0.02,0.15,0,0.07,0.02,0.04
2010-02,32.71,33.92,11.13,5.35,5.46,6.38,1.69,1.11,0.85,0.42,0.42,0.24,0.03,0.14,0,0.07,0.03,0.04
2010-03,34.51,30.13,12.73,5.9,5.71,6.21,1.69,1.1,0.76,0.4,0.35,0.22,0.03,0.13,0,0.06,0.02,0.03
2010-04,33.54,29.38,14.06,5.58,6.68,6.02,2.02,1.16,0.52,0.44,0.26,0.17,0.03,0.07,0,0.04,0.02,0.02
2010-05,32.92,29.01,14.15,3.94,9.09,5.9,2.86,1.02,0.2,0.52,0.25,0.07,0.03,0,0,0,0.02,0.02
2010-06,33.39,26.66,14.98,3.95,9.81,5.79,3.34,1.02,0.17,0.52,0.25,0.07,0.03,0,0,0,0.01,0.01
2010-07,32.04,26.05,16.45,7.91,6.77,5.47,2.93,0.92,0.4,0.51,0.24,0.15,0.06,0.05,0,0.02,0.01,0.01
2010-08,31.54,25.71,16.95,9.22,6.16,5.43,2.85,0.7,0.4,0.45,0.23,0.16,0.1,0.05,0,0.03,0.01,0.01
2010-09,32.69,22.85,17.9,9.79,6.59,5.61,2.96,0.46,0.36,0.35,0.15,0.13,0.09,0.04,0,0.02,0.01,0.01
2010-10,32.83,22.45,18.19,10.67,5.91,5.54,2.83,0.4,0.5,0.31,0.13,0.12,0.06,0.03,0,0.01,0.01,0.02
2010-11,31.93,21.94,19.25,11.61,5.32,4.9,3.49,0.37,0.44,0.29,0.13,0.12,0.05,0.02,0.1,0.01,0.01,0.01
2010-12,29.66,23.57,18.04,13.6,5.13,4.32,4.05,0.42,0.4,0.28,0.15,0.12,0.05,0.02,0.14,0.01,0.01,0.01
