"Date","SymbianOS","iOS","Android","BlackBerry OS","Unknown","Samsung","Sony Ericsson","Windows","bada","Playstation","webOS","Nintendo","LG","Maemo 5","Linux","WAP","Motorola","Other"
2011-01,30.25,25.02,14.61,15.03,5.21,4.33,3.91,0.52,0,0.39,0.25,0.16,0.12,0.13,0,0.04,0,0.04
2011-02,30.66,24.56,15.16,14.52,5.14,4.51,3.86,0.61,0,0.34,0.21,0.13,0.11,0.12,0,0.03,0,0.04
2011-03,30.61,24.38,15.8,14.1,5.1,4.73,3.75,0.6,0,0.32,0.19,0.14,0.11,0.11,0,0.03,0,0.03
2011-04,31.56,23.34,16.05,13.54,5.28,4.99,3.66,0.58,0.12,0.31,0.16,0.13,0.1,0.1,0,0.03,0,0.03
2011-05,31.36,22.09,17.63,12.94,5.77,5.08,3.46,0.54,0.37,0.28,0.13,0.11,0.1,0.09,0,0.03,0,0.03
2011-06,33.58,20.04,17.92,12.15,5.91,5.64,3.19,0.49,0.39,0.26,0.11,0.1,0.1,0.07,0,0.02,0,0.02
2011-07,32.45,20.03,18.93,12.48,5.88,5.76,2.97,0.49,0.39,0.24,0.09,0.1,0.09,0.06,0,0.03,0,0.02
2011-08,32.12,19.41,20.6,11.84,5.72,6.04,2.7,0.49,0.45,0.26,0.08,0.09,0.09,0.06,0,0.02,0,0.02
2011-09,31.83,21.21,20.9,10.72,5.9,5.6,2.26,0.52,0.47,0.25,0.08,0.09,0.08,0.06,0,0.02,0,0.02
2011-10,29.84,23.48,22.11,9.49,6.01,5.22,2.04,0.59,0.48,0.29,0.08,0.11,0.08,0.05,0.07,0.01,0.05,0.02
2011-11,30.95,24.21,21.9,8.44,5.29,5.43,1.93,0.58,0.51,0.27,0.07,0.1,0.08,0.05,0.1,0.01,0.06,0.03
2011-12,33.46,22.71,21.83,7.78,4.76,5.61,2,0.56,0.5,0.27,0.05,0.09,0.08,0.04,0.1,0.01,0.05,0.09
