"Date","Android","iOS","SymbianOS","Series 40","Samsung","BlackBerry OS","Unknown","Sony Ericsson","Windows","bada","Playstation","Nintendo 3DS","Linux","Brew","LG","Nintendo","Motorola","MeeGo","Maemo 5","webOS","OS X","Other"
2012-01,23.21,24.04,31.89,0,5.84,6.94,4.45,1.75,0.58,0.52,0.23,0.13,0.11,0,0.07,0.07,0.06,0.02,0.04,0.04,0,0.02
2012-02,24.76,25.49,30.19,0,5.06,6.76,4.37,1.55,0.63,0.52,0.18,0.1,0.1,0,0.06,0.06,0.05,0.03,0.03,0.04,0,0.02
2012-03,23.61,23.99,31.48,0,6.05,6.43,4.78,1.62,0.66,0.64,0.2,0.12,0.11,0.01,0.07,0.06,0.06,0.03,0.03,0.03,0,0.02
2012-04,23.79,23.85,28.45,2.74,6.81,6.1,4.53,1.54,0.69,0.7,0.19,0.14,0.11,0.07,0.07,0.06,0.05,0.03,0.03,0.02,0,0.02
2012-05,23.81,22.95,20.25,11.84,7.18,5.66,4.59,1.44,0.71,0.77,0.18,0.14,0.11,0.1,0.07,0.06,0.04,0.03,0.03,0.02,0,0.02
2012-06,25.07,24.56,17.29,13.7,6.21,5.26,4.38,1.29,0.73,0.74,0.17,0.14,0.11,0.1,0.06,0.05,0.04,0.03,0.02,0.02,0,0.02
2012-07,26.53,25.41,13.47,14.73,6.71,4.96,4.51,1.14,0.99,0.72,0.18,0.16,0.12,0.1,0.06,0.06,0.04,0.03,0.02,0.02,0.03,0.02
2012-08,28.21,24.48,12.58,15,6.56,4.65,4.73,1.03,1.19,0.71,0.17,0.17,0.13,0.1,0.05,0.06,0.04,0.04,0.02,0.01,0.05,0.02
2012-09,29.25,23.63,12.22,15.14,6.72,4.54,4.83,0.98,1.22,0.69,0.13,0.15,0.12,0.11,0.05,0.05,0.04,0.04,0.02,0.01,0.04,0.02
2012-10,30.19,23.72,11.7,15,6.72,4.29,4.82,0.95,1.22,0.66,0.12,0.14,0.11,0.11,0.04,0.05,0.04,0.04,0.01,0.01,0.04,0.02
2012-11,31.67,23.73,10.93,15.07,6.52,3.93,4.75,0.89,1.27,0.58,0.11,0.14,0.1,0.07,0.04,0.05,0.04,0.03,0.01,0.01,0.03,0.02
2012-12,33.19,23.26,10.72,14.86,6.57,3.53,4.7,0.85,1.16,0.55,0.11,0.14,0.09,0.07,0.04,0.04,0.04,0.03,0.01,0.01,0.01,0.02
