"Date","Android","iOS","Series 40","Unknown","SymbianOS","Samsung","Windows","BlackBerry OS","Nokia Unknown","Linux","Sony Ericsson","LG","bada","Playstation","Nintendo 3DS","MeeGo","Brew","Other"
2014-01,44.62,23.55,11.7,4.03,4.39,4.17,2.21,3.02,0.62,0.63,0.4,0.3,0.24,0.04,0.02,0.02,0.01,0.04
2014-02,47.45,22.97,10.87,3.78,3.99,3.86,2.28,2.62,0.62,0.54,0.36,0.27,0.23,0.08,0.02,0.01,0.01,0.03
2014-03,48.26,23.6,10.24,3.68,3.69,3.66,2.26,2.5,0.64,0.52,0.34,0.25,0.22,0.08,0.02,0.01,0.01,0.03
2014-04,49.95,23.25,9.54,3.63,3.43,3.57,2.44,2.16,0.65,0.48,0.32,0.23,0.21,0.08,0.02,0.01,0.01,0.03
2014-05,52.23,23.24,8.73,3.47,3.02,3.11,2.42,1.88,0.63,0.47,0.28,0.21,0.18,0.07,0.02,0.01,0.01,0.02
2014-06,52.98,24.29,7.9,3.38,2.76,2.66,2.39,1.87,0.57,0.48,0.24,0.19,0.17,0.06,0.02,0.01,0.01,0.02
2014-07,53.51,24.9,7.34,3.39,2.52,2.51,2.44,1.66,0.56,0.5,0.22,0.18,0.15,0.07,0.02,0.01,0.01,0.02
2014-08,54.87,23.57,7.24,3.59,2.49,2.51,2.38,1.59,0.58,0.54,0.21,0.17,0.14,0.06,0.01,0.01,0.01,0.02
2014-09,55.7,24.73,6.94,2.7,2.18,2.28,2.32,1.57,0.64,0.36,0.2,0.17,0.14,0.04,0.01,0.01,0.01,0.02
2014-10,57.43,25.96,5.68,2.33,1.8,1.8,2.35,1.29,0.55,0.32,0.15,0.13,0.11,0.06,0.01,0.01,0.01,0.01
2014-11,59.9,23.02,5.73,2.62,1.82,1.75,2.45,1.3,0.58,0.35,0.16,0.13,0.11,0.04,0.02,0.01,0.01,0.01
2014-12,59.15,23.51,5.76,2.72,1.79,1.75,2.27,1.33,1.07,0.19,0.15,0.13,0.11,0.04,0.02,0.01,0.01,0.01
