"Date","Android","iOS","Series 40","Unknown","Windows","Nokia Unknown","BlackBerry OS","SymbianOS","Samsung","Linux","Sony Ericsson","LG","bada","Tizen","Playstation","MeeGo","Nintendo 3DS","Other"
2015-01,59.78,22.75,5.72,2.76,2.28,1.48,1.3,1.73,1.62,0.09,0.14,0.12,0.1,0.01,0.05,0.02,0.02,0.04
2015-02,60.79,23.17,5.04,2.58,2.3,1.4,1.2,1.52,1.44,0.09,0.13,0.11,0.1,0.02,0.05,0.02,0.02,0.02
2015-03,61.94,22.64,4.69,2.65,2.31,1.39,1.2,1.36,1.26,0.09,0.12,0.11,0.09,0.03,0.05,0.03,0.02,0.02
2015-04,63.43,20.78,4.77,2.83,2.36,1.52,1.22,1.33,1.19,0.12,0.12,0.11,0.08,0.04,0.04,0.03,0.01,0.02
2015-05,64,20.22,4.48,2.91,2.33,1.86,1.14,1.33,1.11,0.18,0.12,0.1,0.08,0.04,0.04,0.03,0.01,0.02
2015-06,63.75,20.22,4.07,3.25,2.26,2.23,1.26,1.28,1.07,0.18,0.11,0.1,0.07,0.05,0.04,0.03,0.01,0.02
2015-07,64.08,20.41,3.72,3.22,2.31,2.25,1.19,1.16,0.97,0.27,0.1,0.09,0.06,0.05,0.04,0.04,0.01,0.02
2015-08,65.56,19.03,3.33,3.32,2.25,2.3,1.35,1.06,0.9,0.53,0.09,0.09,0.06,0.05,0.04,0.04,0.01,0.02
2015-09,66.77,18.14,3.13,3.32,2.22,2.36,1.26,0.97,0.87,0.6,0.08,0.09,0.06,0.05,0.03,0.04,0.01,0.02
2015-10,67.15,17.7,3.01,3.48,2.3,2.55,1.09,0.92,0.86,0.59,0.08,0.09,0.05,0.04,0.03,0.04,0.01,0.02
2015-11,65.73,19.3,3.01,3.63,2.29,2.5,1,0.88,0.85,0.45,0.08,0.09,0.05,0.04,0.03,0.04,0.01,0.02
2015-12,65.9,19.21,2.81,3.71,2.31,2.61,1.08,0.82,0.8,0.39,0.07,0.09,0.05,0.05,0.03,0.04,0.01,0.02
