"Date","Android","iOS","Unknown","Nokia Unknown","Windows","Series 40","BlackBerry OS","Samsung","SymbianOS","Linux","Tizen","LG","Sony Ericsson","MeeGo","bada","Playstation","Other"
2016-01,66.28,19.58,3.59,2.51,2.18,2.59,0.98,0.75,0.75,0.43,0.06,0.09,0.07,0.04,0.04,0.03,0.02
2016-02,66.38,19.47,3.77,2.5,2.12,2.52,0.98,0.75,0.74,0.4,0.08,0.09,0.07,0.04,0.04,0.03,0.02
2016-03,68.04,18.82,3.6,2.32,1.93,2.29,0.91,0.7,0.68,0.36,0.08,0.08,0.06,0.04,0.04,0.03,0.02
2016-04,68.28,18.8,3.57,2.33,1.91,2.15,0.95,0.67,0.63,0.35,0.08,0.08,0.06,0.04,0.04,0.03,0.02
2016-05,68.84,18.63,3.44,2.28,1.85,2.05,0.93,0.69,0.6,0.36,0.09,0.07,0.06,0.04,0.03,0.02,0.02
2016-06,68.39,20.33,2.93,1.89,1.96,1.74,0.83,0.69,0.48,0.4,0.1,0.06,0.07,0.04,0.03,0.03,0.02
2016-07,68.79,19.89,3.14,1.96,1.85,1.73,0.76,0.67,0.48,0.4,0.1,0.06,0.06,0.04,0.03,0.03,0.02
2016-08,68.54,20.07,3.58,1.93,1.76,1.6,0.64,0.64,0.47,0.46,0.1,0.06,0.06,0.04,0.03,0.03,0.02
2016-09,69.68,19.38,3.59,1.88,1.63,1.45,0.6,0.62,0.43,0.41,0.12,0.06,0.06,0.04,0.02,0.02,0.02
2016-10,70.84,19.12,3.39,1.87,1.47,1.19,0.56,0.56,0.36,0.31,0.14,0.05,0.05,0.03,0.02,0.02,0.02
2016-11,72.01,18.85,3.19,1.64,1.34,1.03,0.52,0.49,0.31,0.28,0.17,0.04,0.05,0.03,0.02,0.02,0.01
2016-12,71.97,18.89,3.5,1.54,1.24,0.97,0.44,0.5,0.29,0.29,0.2,0.05,0.05,0.03,0.02,0.02,0.01
