"Date","Android","iOS","Unknown","Nokia Unknown","Windows","Series 40","Samsung","BlackBerry OS","Tizen","SymbianOS","Linux","Firefox OS","LG","Sony Ericsson","MeeGo","Playstation","bada","Other"
2017-01,71.58,19.73,3.41,1.52,1.14,0.92,0.49,0.42,0.21,0.27,0.16,0.01,0.05,0.04,0.03,0.02,0.02,0.01
2017-02,71.98,19.45,3.41,1.5,1.13,0.85,0.44,0.45,0.25,0.26,0.14,0,0.05,0.03,0.03,0.02,0.01,0.01
2017-03,71.61,19.5,4.21,1.35,1.01,0.77,0.42,0.36,0.25,0.25,0.11,0,0.06,0.03,0.02,0.01,0.01,0.01
2017-04,71.84,19.87,4.1,1.22,0.96,0.69,0.36,0.32,0.22,0.23,0.07,0,0.05,0.02,0.02,0.01,0.01,0.01
2017-05,72.68,19.32,3.87,1.24,0.92,0.71,0.35,0.31,0.21,0.21,0.05,0,0.05,0.02,0.02,0.01,0.01,0.01
2017-06,72.89,19.35,3.86,1.19,0.89,0.6,0.34,0.28,0.22,0.2,0.05,0,0.05,0.02,0.02,0.02,0.01,0.01
2017-07,73.39,18.78,4.03,1.17,0.85,0.58,0.34,0.27,0.22,0.19,0.05,0,0.05,0.02,0.02,0.01,0.01,0.01
2017-08,72.74,20.32,3.42,1.06,0.82,0.51,0.33,0.26,0.2,0.17,0.05,0,0.05,0.02,0.02,0.01,0.01,0.01
2017-09,73.52,19.37,3.78,0.94,0.77,0.49,0.33,0.25,0.21,0.16,0.05,0,0.05,0.02,0.02,0.01,0.01,0.01
2017-10,73.05,19.99,3.65,0.89,0.75,0.51,0.33,0.23,0.2,0.17,0.04,0.07,0.05,0.02,0.01,0.01,0.01,0.01
2017-11,73.11,20.34,3.43,0.53,0.71,0.5,0.33,0.2,0.21,0.17,0.04,0.3,0.05,0.02,0.02,0.01,0.01,0.01
2017-12,73.54,19.91,3.54,0.29,0.64,0.53,0.34,0.18,0.23,0.18,0.04,0.46,0.05,0.03,0.02,0.01,0.01,0.01
