"Date","Android","iOS","Unknown","Windows","Series 40","KaiOS","Samsung","Nokia Unknown","Tizen","Firefox OS","SymbianOS","BlackBerry OS","Linux","LG","Sony Ericsson","Playstation","Other"
2018-01,74.39,19.64,3.03,0.61,0.5,0,0.35,0.28,0.21,0.51,0.17,0.16,0.04,0.04,0.03,0.01,0.03
2018-02,74.78,20.15,2.53,0.58,0.37,0,0.28,0.24,0.17,0.45,0.15,0.15,0.05,0.04,0.02,0.01,0.02
2018-03,74.24,20.83,2.83,0.55,0.34,0.03,0.27,0.23,0.16,0.13,0.13,0.14,0.05,0.04,0.02,0.01,0.02
2018-04,75.66,19.23,3.05,0.54,0.36,0.04,0.27,0.24,0.18,0,0.14,0.14,0.06,0.04,0.02,0.01,0.02
2018-05,76.53,18.97,2.69,0.49,0.31,0.04,0.26,0.22,0.16,0,0.11,0.11,0.05,0.04,0.01,0.01,0.02
2018-06,76.99,18.91,2.34,0.47,0.28,0.03,0.26,0.2,0.15,0,0.1,0.09,0.11,0.03,0.01,0.01,0.02
2018-07,77.32,19.4,1.74,0.43,0.24,0.02,0.24,0.18,0.14,0,0.08,0.08,0.06,0.02,0.01,0.01,0.02
2018-08,76.82,20.45,1.23,0.4,0.23,0.02,0.28,0.18,0.13,0,0.08,0.08,0.06,0.02,0.01,0.01,0.01
2018-09,76.61,20.66,0.83,0.37,0.2,0.56,0.27,0.16,0.12,0,0.07,0.06,0.06,0.01,0.01,0.01,0.01
2018-10,74.69,22.34,0.68,0.36,0.2,0.93,0.3,0.16,0.12,0,0.07,0.06,0.06,0.01,0.01,0.01,0.01
2018-11,72.35,24.44,0.62,0.39,0.22,1.12,0.32,0.17,0.13,0,0.07,0.06,0.07,0.01,0.01,0.01,0.01
2018-12,75.16,21.98,0.46,0.33,0.19,1.13,0.29,0.15,0.11,0,0.06,0.05,0.05,0.01,0.01,0.01,0.01
