"Date","Android","iOS","KaiOS","Unknown","Samsung","Windows","Series 40","Nokia Unknown","Tizen","Linux","BlackBerry OS","SymbianOS","Other"
2019-01,74.45,22.85,1.1,0.41,0.28,0.3,0.18,0.14,0.1,0.05,0.05,0.06,0.03
2019-02,74.15,23.28,0.96,0.42,0.29,0.29,0.18,0.14,0.09,0.06,0.05,0.06,0.03
2019-03,75.33,22.4,0.84,0.36,0.26,0.28,0.14,0.13,0.07,0.06,0.04,0.05,0.03
2019-04,75.22,22.76,0.73,0.32,0.24,0.26,0.12,0.11,0.07,0.04,0.05,0.05,0.03
2019-05,75.34,22.66,0.77,0.32,0.22,0.24,0.12,0.11,0.08,0.04,0.04,0.04,0.02
2019-06,76.03,22.04,0.79,0.32,0.21,0.21,0.1,0.1,0.07,0.04,0.03,0.04,0.02
2019-07,76.08,22.01,0.81,0.31,0.21,0.2,0.1,0.1,0.07,0.04,0.03,0.03,0.02
2019-08,76.23,22.17,0.59,0.26,0.21,0.2,0.09,0.09,0.07,0.03,0.03,0.02,0.02
2019-09,76.24,22.48,0.38,0.23,0.18,0.17,0.08,0.08,0.06,0.04,0.02,0.02,0.01
2019-10,76.67,22.09,0.42,0.21,0.17,0.15,0.07,0.07,0.05,0.03,0.02,0.02,0.01
2019-11,75.82,22.9,0.49,0.19,0.18,0.15,0.06,0.07,0.05,0.03,0.02,0.02,0.01
2019-12,74.13,24.79,0.35,0.19,0.18,0.13,0.06,0.06,0.04,0.03,0.02,0.02,0.01
