"Date","Android","iOS","Samsung","KaiOS","Unknown","Windows","Nokia Unknown","Series 40","Linux","Tizen","BlackBerry OS","Other"
2020-01,74.3,24.76,0.2,0.21,0.19,0.12,0.06,0.05,0.03,0.03,0.02,0.02
2020-02,73.3,25.89,0.18,0.23,0.13,0.12,0.03,0.03,0.03,0.03,0.02,0.02
2020-03,72.26,27.03,0.16,0.32,0.06,0.1,0,0,0.01,0.02,0.01,0.01
2020-04,70.68,28.79,0.17,0.12,0.09,0.07,0.02,0.02,0.01,0.02,0.01,0.01
2020-05,72.6,26.72,0.21,0.2,0.11,0.03,0.02,0.02,0.02,0.02,0.01,0.01
2020-06,74.14,25.26,0.21,0.13,0.11,0.04,0.02,0.02,0.02,0.02,0.01,0.01
2020-07,74.6,24.82,0.21,0.1,0.13,0.04,0.02,0.02,0.02,0.02,0.01,0.01
2020-08,74.25,25.15,0.23,0.08,0.13,0.03,0.03,0.03,0.02,0.02,0.01,0.01
2020-09,74.44,24.98,0.22,0.08,0.14,0.03,0.03,0.02,0.02,0.02,0.01,0.02
2020-10,72.92,26.53,0.22,0.07,0.13,0.03,0.02,0.02,0.02,0.01,0.01,0.01
2020-11,71.18,28.19,0.24,0.13,0.14,0.03,0.02,0.02,0.02,0.01,0.01,0.01
2020-12,72.48,26.91,0.23,0.13,0.14,0.02,0.02,0.02,0.02,0.01,0.01,0.01
