"Date","Android","iOS","Samsung","Unknown","KaiOS","Windows","Linux","Other"
2023-01,71.77,27.6,0.34,0.12,0.11,0.02,0.01,0.03
2023-02,72.27,27.1,0.34,0.12,0.13,0.02,0.01,0.03
2023-03,70.88,28.42,0.36,0.16,0.12,0.02,0.01,0.03
2023-04,68.61,30.61,0.42,0.17,0.12,0.02,0.01,0.03
2023-05,67.72,31.44,0.43,0.15,0.2,0.02,0.01,0.03
2023-06,70.79,28.44,0.38,0.14,0.18,0.02,0.02,0.03
2023-07,70.87,28.39,0.38,0.15,0.15,0.02,0.01,0.03
2023-08,70.76,28.53,0.37,0.17,0.1,0.02,0.02,0.03
2023-09,69.74,29.58,0.36,0.14,0.1,0.02,0.02,0.03
2023-10,69.66,29.65,0.37,0.14,0.11,0.02,0.02,0.03
2023-11,70.19,29.12,0.38,0.13,0.12,0.02,0.02,0.03
2023-12,70.48,28.8,0.37,0.14,0.14,0.02,0.01,0.03
